0,0,1,2
1,0,2,3
2,2,3,5
3,1,6,7
4,1,4,7
5,1,2,4
6,4,7,8
7,2,4,8
8,2,8,9
9,2,5,9
10,5,9,14
11,3,5,51
12,6,11,52
13,6,11,12
14,6,7,12
15,7,8,12
16,8,12,13
17,8,9,13
18,9,13,14
19,10,15,16
20,10,11,16
21,11,16,17
22,11,12,17
23,12,17,18
24,12,13,18
25,13,18,19
26,13,14,19
27,15,20,21
28,15,16,21
29,16,21,22
30,16,17,22
31,17,22,23
32,17,23,24
33,17,24,25
34,17,18,25
35,18,19,25
36,24,25,26
37,19,25,26
38,20,21,27
39,21,22,27
40,22,27,28
41,22,28,29
42,22,23,29
43,23,29,30
44,23,30,31
45,23,26,31
46,23,24,26
47,27,28,34
48,28,34,44
49,28,35,44
50,28,35,36
51,28,29,36
52,29,36,37
53,29,30,37
54,30,37,38
55,30,31,38
56,26,31,38
57,26,32,38
58,26,19,32
59,20,27,33
60,27,33,34
61,33,34,45
62,34,44,45
63,39,44,45
64,35,39,44
65,35,39,40
66,35,36,40
67,36,37,40
68,37,40,41
69,37,41,43
70,37,38,43
71,32,38,43
72,39,40,41
73,39,41,42
74,41,42,43
75,15,20,46
76,20,33,46
77,33,46,49
78,33,49,47
79,33,45,47
80,45,47,48
81,39,45,48
82,39,42,48
83,3,50,51
84,5,14,51
85,54,53,52
86,53,52,6
87,53,1,6
88,0,1,53
89,54,10,52
90,10,52,11
91,66,54,10
92,66,10,15
93,66,65,15
94,65,15,46
95,65,46,49
96,65,49,64
97,64,49,56
98,56,49,47
99,47,56,55
100,55,47,48
101,48,55,57
102,48,57,42
103,42,58,57
104,42,58,63
105,43,42,63
106,32,43,63
107,32,62,63
108,32,19,62
109,19,62,61
110,61,14,19
111,51,14,61
112,50,51,61
113,67,65,66
114,67,65,68
115,65,68,64
116,68,64,69
117,69,64,56
118,63,58,62
119,62,59,58
120,62,59,60
121,60,61,62
